0,catala,angles,Deutsche,italiano
1,com,as,als,come
3,seva,his,seine,sua
4,que,that,das,Quello
5,ell,he,er,lui
6,era,was,war,era
7,per,for,Pro,per
8,en,on,an,Su
9,són,are,sind,sono
10,amb,with,mit,con
11,ells,they,sie,essi
12,ser,be,sein,essere
13,en,at,bei,in
14,un,one,einer,uno
15,tenir,have,habe,avere
16,aquest,this,diese,questo
17,des,from,von,partire
18,per,by,von,di
19,calenta,hot,heiß,caldo
20,paraula,word,Wort,parola
21,però,but,sondern,ma
22,què,what,was,che
23,alguns,some,manche,alcuni
24,és,is,ist,è
25,el,it,es,esso
26,vostè,you,Sie,voi
27,o,or,oder,o
28,tingut,had,hatte,aveva
29,la,the,Die,il,
30,de,of,von,di
31,a,to,zu,a
32,i,and,und,e
33,ella,a,a,un
34,en,in,in,in
35,nosaltres,we,wir,noi
36,pot,can,kann,potere
37,sortida,out,aus,fuori
38,altre,other,andere,Altro
39,eren,were,war,erano
40,que,which,welcher,quale
41,fer,do,tun,fare
42,seva,their,ihr,loro
43,temps,time,Zeit,volta
44,si,if,wenn,Se
45,farà,will,Wille,volere
46,com,how,wie,come
47,dit,said,sagte,disse
48,ocupat,an,ein,un
49,cada,each,jeder,testa
50,dir,tell,erzählen,raccontare
51,fa,does,tut,fa
52,conjunt,set,einstellen,impostare
53,mar,three,drei,tre
54,voler,want,will,volere
55,aire,air,Luft,aria
56,bé,well,Gut,bene
57,també,also,zudem,anche
58,jugar,play,abspielen,giocare
59,petit,small,klein,piccolo
60,fi,end,Ende,fine
61,posar,put,stellen,mettere
62,casa,home,Zuhause,casa
63,llegir,read,lesen,leggere
64,mà,hand,Hand,mano
65,port,port,Hafen,porta
66,gran,large,groß,grandi
67,lletrejar,spell,Fluch,sillabare
68,afegir,add,addieren,Inserisci
70,terra,land,Land,terra
71,aquí,here,Hier,qui
72,ha,must,muss,dovere
73,gran,big,groß,grande
74,alta,high,hoch,alto
75,tals,such,solch,come
76,segueixi,follow,Folgen,Seguire
77,acte,act,Handlung,atto
79,preguntar,ask,Fragen,Chiedi
80,homes,men,Männer,uomini
81,canvi,change,Rückgeld,modificare
83,llum,light,hell,luce
84,tipus,kind,nett,tipo
85,off,off,aus,spento
86,necessitarà,need,brauchen,bisogno
87,casa,house,Haus,Casa
88,foto,picture,Bild,immagine
89,tractar,try,Versuchen,Tentativo
90,nosaltres,us,uns,noi
91,nou,again,andermal,ancora
92,animals,animal,Tier,animale
93,punt,point,Punkt,punto
94,mare,mother,Mutter,madre
95,món,world,Welt,mondo
96,prop,near,nahe,vicino
97,construir,build,bauen,costruire
98,acte,self,selbst,stesso
99,terra,earth,Erde,terra
100,pare,father,Vater,padre
101,qualsevol,any,irgendein,qualunque
102,nou,new,Neu,nuovo
103,treball,work,arbeiten,opera
104,part,part,Teil,parte
105,prendre,take,nehmen,prendere
106,aconseguir,get,bekommen,ottenere
107,lloc,place,Ort,posto
108,fet,made,gemacht,fatto
109,viure,live,live,abitare
110,on,where,wo,dove
111,després,after,nach,dopo
112,esquena,back,Rücken,indietro
113,poc,little,kleine,piccolo
114,només,only,nur,solo
115,ronda,round,runden,tondo
116,home,man,Mann,uomo
117,anys,year,Jahr,anno
118,vi,came,kam,venuto
119,espectacle,show,Show,mostrare
120,cada,every,jeden,ogni
121,bona,good,gut,Buono
122,em,me,mich,me
123,donar,give,geben,dare
124,nostra,our,unsere,Nostro
125,sota,under,unter,sotto
126,nom,name,Name,nome
127,molt,very,sehr,molto
128,través,through,durch,attraverso
129,només,just,Nur,appena
130,forma,form,bilden,modulo
131,frase,sentence,Satz,frase
132,gran,great,Großartig,grande
133,pensar,think,denken,pensare
134,dir,say,sagen,dire
